ISO,2019
AFG,0
AGO,0
ALB,0
AND,0
ARE,0
ARG,0
ARM,0
ATG,0
AUS,0
AUT,0
AZE,0
BDI,0
BEL,0
BEN,0
BFA,0
BGD,0
BGR,0
BHR,0
BHS,0
BIH,0
BLR,0
BLZ,0
BOL,0
BRA,0
BRB,0
BRN,0
BTN,0
BWA,0
CAF,0
CAN,0
CHE,0
CHL,0
CHN,0
CIV,0
CMR,0
COD,0
COG,0
COL,0
CPV,0
CRI,0
CUB,0
CYP,0
CZE,0
DEU,0
DJI,0
DNK,0
DOM,0
DZA,0
ECU,0
EGY,0
ERI,0
ESP,0
EST,0
ETH,0
FIN,0
FJI,0
FRA,0
GAB,0
GBR,0
GEO,0
GHA,0
GIN,0
GMB,0
GRC,0
GTM,0
GUY,0
HND,0
HRV,0
HTI,0
HUN,0
IDN,0
IND,0
IRL,0
IRN,0
IRQ,0
ISL,0
ISR,0
ITA,0
JAM,0
JOR,0
JPN,0
KAZ,0
KEN,0
KGZ,0
KHM,0
KOR,0
KWT,0
LAO,0
LBN,0
LBR,0
LBY,0
LKA,0
LSO,0
LTU,0
LUX,0
LVA,0
MAR,0
MCO,0
MDA,0
MDG,0
MDV,0
MEX,0
MKD,0
MLI,0
MLT,0
MMR,0
MNE,0
MNG,0
MOZ,0
MRT,0
MUS,0
MWI,0
MYS,0
NAM,0
NER,0
NGA,0
NIC,0
NLD,0
NOR,0
NPL,0
NZL,0
OMN,0
PAK,0
PAN,0
PER,0
PHL,0
PNG,0
POL,0
PRK,0
PRT,0
PRY,0
QAT,0
ROU,0
RUS,0
RWA,0
SAU,0
SDN,0
SEN,0
SGP,0
SLE,0
SLV,0
SMR,0
SOM,0
SRB,0
SSD,0
STP,0
SUR,0
SVK,0
SVN,0
SWE,0
SWZ,0
SYC,0
SYR,0
TCD,0
TGO,0
THA,0
TJK,0
TKM,0
TTO,0
TUN,0
TUR,0
TZA,0
UGA,0
UKR,0
URY,0
USA,0
UZB,0
VEN,0
VNM,0
VUT,0
WSM,0
YEM,0
ZAF,0
ZMB,0
ZWE,0
